id_2	invicta_1985	invicta_1995	invicta_2005	invicta_2015	invicta_2023	nf_veg_1985	area_veg_1985	nf_veg_1995	area_veg_1995	nf_veg_2005	area_veg_2005	nf_veg_2015	area_veg_2015	nf_veg_2022	area_veg_2022	nf_urb_1985	area_urb_1985	nf_urb_1995	area_urb_1995	nf_urb_2005	area_urb_2005	nf_urb_2015	area_urb_2015	nf_urb_2022	area_urb_2022
817	0	0	0	0	0	245	45252050	133	56621229	154	55630213	167	52704988	156	51334141	3	40606	3	17869	5	40607	5	69849	12	169744
818	0	0	0	0	0	170	9601562	220	10210031	266	10860561	264	11214517	287	11364840	16	295811	6	124463	10	73553	4	13740	3	17781
819	0	0	0	0	0	185	41978894	188	39404575	294	30192661	299	29473677	306	28068746	1	5629	0	0	4	20908	7	89251	25	188957
821	0	0	0	1	1	314	18985738	300	21740639	344	21013965	476	21514515	489	19472941	15	276940	2	416198	5	529199	14	681994	16	693135
823	0	0	0	0	0	47	34869368	46	34835514	50	34804023	49	34742624	49	34717409	0	0	0	0	0	0	0	0	1	6299
824	0	0	0	1	1	5	190950	4	215205	4	227725	5	243375	3	237111	5	68114	17	184764	25	384410	28	980951	35	1261966
862	0	0	0	0	0	60	2048338	67	2260558	51	1956929	81	2102048	84	2570932	9	313726	0	0	0	0	0	0	1	10064
863	1	1	1	1	1	132	5884422	170	6540096	145	5750648	170	6943670	167	7060668	11	334234	7	1149761	14	1744671	13	2540952	14	3003841
865	0	0	0	0	0	13	1041554	17	851816	13	807069	14	924738	17	976942	0	0	0	0	1	1657	0	0	0	0
870	0	0	0	3	3	256	40248152	361	34621665	336	34538292	356	33310120	372	32998078	132	4584262	80	8173481	109	12329885	112	15186245	130	16864859
872	0	0	0	2	2	143	55231475	136	56923863	147	55396223	176	54868993	198	53040844	0	0	1	5614	8	60953	7	80211	7	79410
873	0	0	0	0	0	60	67704693	21	71531859	24	71761700	28	72291495	41	73177985	8	17557	0	0	0	0	0	0	0	0
874	0	0	0	0	0	189	44428402	206	46812199	217	45847206	227	43628802	272	43986774	55	349281	4	47623	12	100012	10	113509	13	98429
875	0	0	0	5	5	309	27734798	283	30693392	287	30782466	388	30524802	371	28913590	4	28413	8	85234	17	368573	26	677157	33	796331
916	0	0	0	0	2	3	9133	1	830	1	4152	1	10794	2	11624	1	830	0	0	0	0	0	0	0	0
918	0	0	0	0	0	14	346700	11	248704	9	263528	11	353289	15	495758	0	0	0	0	0	0	0	0	0	0
920	0	0	0	0	0	27	72959766	28	71440924	43	71165351	28	71199581	30	71648333	1	28549	2	26102	1	39152	1	23654	1	33443
921	0	0	0	0	1	96	68964645	41	71611456	19	73200104	9	75172947	20	74887155	2	8119	0	0	0	0	0	0	0	0
922	0	0	0	0	0	14	75165147	16	75409182	6	75726842	27	73663508	30	73757402	1	5659	0	0	0	0	1	16166	0	0
923	0	0	0	0	0	56	46703393	52	47604154	57	47269578	59	47132855	64	46737173	3	15275	1	19298	3	48241	17	328859	31	656930
924	1	1	1	1	1	156	17070033	131	17935110	172	18513629	191	17150911	172	15445932	85	942520	41	692076	69	2396206	86	4777773	90	5852957
925	2	3	3	3	4	183	45193581	143	45580162	189	43448854	247	41094652	235	39770977	8	300925	3	35030	4	51748	12	158426	40	359777
926	0	0	1	1	1	203	48298670	145	52434041	121	53011972	206	52294150	171	53742797	10	98948	7	112436	7	260485	17	832864	15	901737
963	0	0	0	0	0	110	5767784	137	6574853	127	6388309	111	6455348	110	6811477	35	678246	3	50869	4	39847	10	202628	10	276388
970	0	1	1	1	1	81	3904895	80	4691171	80	5130080	163	6484799	113	6502255	16	166667	4	122097	4	174895	6	254922	7	313500
971	0	0	0	0	0	86	1767360	96	1861852	129	1951406	171	2308790	202	2620185	1	8215	0	0	0	0	1	8217	6	37791
972	0	1	1	1	1	224	42253174	208	42477598	205	42902037	186	41133381	162	41184106	0	0	0	0	0	0	0	0	0	0
973	0	1	1	1	1	273	41285464	361	33532827	333	33301026	393	34230600	400	33865079	3	20351	4	43960	6	86292	14	163626	21	327257
974	0	0	0	0	0	48	21305341	45	21389588	45	21426849	45	21430089	47	21306949	0	0	0	0	0	0	0	0	0	0
