id_hex	decada	ocorrência
405	2015	0
714	2015	1
1124	2015	4
454	2015	0
665	2015	0
819	2015	5
1126	2015	10
875	2015	58
1179	2015	37
561	2015	47
764	2015	0
1842	2015	2
1075	2015	28
1127	2015	63
1538	2015	3
870	2015	18
1436	2015	4
973	2015	7
1736	2015	7
1024	2015	4
823	2015	7
718	2015	15
1385	2015	4
1536	2015	11
1541	2015	1
1490	2015	18
616	2015	0
1178	2015	2
1229	2015	9
925	2015	10
612	2015	0
662	2015	0
669	2015	17
1489	2015	10
565	2015	2
972	2015	5
1637	2015	4
1686	2015	1
1838	2015	8
772	2015	3
874	2015	2
1840	2015	41
611	2015	2
668	2015	9
923	2015	2
1694	2015	2
1841	2015	5
817	2015	10
1787	2015	6
349	2015	1
1889	2015	6
559	2015	0
872	2015	4
926	2015	7
1386	2015	5
664	2015	0
1839	2015	5
773	2015	3
920	2015	9
873	2015	38
1437	2015	11
922	2015	1
921	2015	1
569	2015	8
774	2015	0
1578	2015	6
1629	2015	1
1644	2015	1
2196	2015	2
2032	2024	1
916	2024	8
1888	2024	1
2142	2024	2
670	2024	12
1277	2024	1
1072	2024	1
824	2024	7
1594	2024	6
809	2024	2
1939	2024	1
1796	2024	4
918	2024	4
1372	2024	0
1426	2024	2
1381	2024	15
865	2024	8
407	2024	1
396	2024	0
291	2024	1
1378	2024	0
1074	2024	24
2243	2024	3
1628	2024	3
604	2024	1
762	2024	1
862	2024	11
971	2024	2
449	2024	2
705	2024	1
811	2024	3
1744	2024	3
2041	2024	0
2042	2024	5
502	2024	1
2093	2024	1
1587	2024	7
2244	2024	0
709	2024	1
606	2024	16
1334	2024	4
619	2024	0
400	2024	2
450	2024	0
810	2024	15
1837	2024	3
654	2024	2
655	2024	2
1073	2024	16
1730	2024	2
1330	2024	19
1279	2024	10
970	2024	8
1177	2024	6
345	2024	3
1071	2024	7
963	2024	2
863	2024	8
409	2024	1
759	2024	3
1592	2024	1
1737	2024	4
2241	2024	1
763	2024	1
459	2024	8
1373	2024	6
1875	2024	0
1281	2024	2
292	2024	3
1227	2024	1
1788	2024	4
241	2024	9
1742	2024	1
608	2024	1
509	2024	14
1789	2024	2
1021	2024	43
1023	2024	1
1795	2024	2
1691	2024	2
1280	2024	4
242	2024	1
1743	2024	8
1435	2024	3
765	2024	91
818	2024	1
344	2024	1
1383	2024	0
455	2024	1
2245	2024	1
812	2024	1
1635	2024	1
1333	2024	15
1228	2024	1
1176	2024	21
814	2024	2
507	2024	3
1488	2024	1
406	2024	2
1125	2024	2
350	2024	5
510	2024	1
924	2024	6
1844	2024	2
1745	2024	24
562	2024	3
1231	2024	60
508	2024	1
758	2024	1
1693	2024	8
766	2024	35
1692	2024	0
560	2024	0
457	2024	6
1685	2024	5
770	2024	29
1431	2024	1
1283	2024	27
1584	2024	9
1791	2024	3
659	2024	10
821	2024	4
713	2024	2
553	2024	5
1433	2024	39
721	2024	1
1738	2024	1
1792	2024	1
456	2024	9
974	2024	11
661	2024	0
1486	2024	30
1485	2024	0
1794	2024	6
716	2024	2
1845	2024	1
1282	2024	9
1786	2024	13
1634	2024	4
720	2024	3
1535	2024	2
1230	2024	10
405	2024	2
714	2024	1
1124	2024	4
454	2024	3
665	2024	0
819	2024	5
1126	2024	54
875	2024	98
1179	2024	668
561	2024	51
764	2024	1
1842	2024	2
1075	2024	28
1127	2024	63
1538	2024	3
870	2024	22
1436	2024	7
973	2024	7
1736	2024	7
1024	2024	5
823	2024	10
718	2024	16
1385	2024	4
1536	2024	29
1541	2024	1
1490	2024	19
616	2024	3
1178	2024	33
1229	2024	9
925	2024	12
612	2024	9
662	2024	1
669	2024	17
1489	2024	10
565	2024	2
972	2024	5
1637	2024	4
1686	2024	1
1838	2024	8
772	2024	7
874	2024	4
1840	2024	41
611	2024	34
668	2024	9
923	2024	3
1694	2024	11
1841	2024	6
817	2024	10
1787	2024	6
349	2024	1
1889	2024	6
559	2024	3
872	2024	4
926	2024	8
1386	2024	5
664	2024	2
1839	2024	5
773	2024	5
920	2024	9
873	2024	93
1437	2024	12
922	2024	3
921	2024	7
569	2024	8
774	2024	0
1578	2024	6
1629	2024	1
1644	2024	1
2196	2024	2
